Epoch:   0 | Steps:   2626 | Rewards:     0 | Mean Loss: 0.000 | Mean Q: 0.000 | Epsilon: 1.000
Epoch:   0 | Steps:   2700 | Rewards:     1 | Mean Loss: 0.000 | Mean Q: 0.000 | Epsilon: 1.000
Epoch:   0 | Steps:   2725 | Rewards:     0 | Mean Loss: 0.000 | Mean Q: 0.000 | Epsilon: 1.000
Epoch:   0 | Steps:   2750 | Rewards:     0 | Mean Loss: 0.000 | Mean Q: 0.000 | Epsilon: 1.000
Epoch:   0 | Steps:   2783 | Rewards:     0 | Mean Loss: 0.000 | Mean Q: 0.000 | Epsilon: 1.000
Epoch:   0 | Steps:   2812 | Rewards:     0 | Mean Loss: 0.000 | Mean Q: 0.000 | Epsilon: 1.000
Epoch:   0 | Steps:   2837 | Rewards:     0 | Mean Loss: 0.000 | Mean Q: 0.000 | Epsilon: 1.000
Epoch:   0 | Steps:   2864 | Rewards:     0 | Mean Loss: 0.000 | Mean Q: 0.000 | Epsilon: 1.000
Epoch:   0 | Steps:   2893 | Rewards:     0 | Mean Loss: 0.000 | Mean Q: 0.000 | Epsilon: 1.000
Epoch:   0 | Steps:   2955 | Rewards:     1 | Mean Loss: 0.000 | Mean Q: 0.000 | Epsilon: 1.000
Epoch:   0 | Steps:   2982 | Rewards:     0 | Mean Loss: 0.000 | Mean Q: 0.000 | Epsilon: 1.000
Epoch:   0 | Steps:   3007 | Rewards:     0 | Mean Loss: 0.000 | Mean Q: 0.000 | Epsilon: 1.000
Epoch:   0 | Steps:   3032 | Rewards:     0 | Mean Loss: 0.000 | Mean Q: 0.000 | Epsilon: 1.000
Epoch:   0 | Steps:   3057 | Rewards:     0 | Mean Loss: 0.000 | Mean Q: 0.000 | Epsilon: 1.000
Epoch:   0 | Steps:   3083 | Rewards:     0 | Mean Loss: 0.000 | Mean Q: 0.000 | Epsilon: 1.000
Epoch:   0 | Steps:   3086 | Rewards:     0 | Mean Loss: 0.000 | Mean Q: 0.000 | Epsilon: 1.000
